ano,mes,dia,local,serie,artista,compositor,obra,periodo
2016,outubro,29,Sala Minas Gerais,Fora de Série,"Fabio Mechetti, regente",MOZART," Serenata nº 6 em Ré maior, K. 239, “Noturna”",CLASSICISMO
2016,outubro,29,Sala Minas Gerais,Fora de Série,"Fabio Mechetti, regente",MOZART," Serenata nº 9 em Ré maior, K. 320, “Posthorn”",CLASSICISMO
2016,outubro,24 e 25,Sala Minas Gerais,Concertos Didáticos,"Marcos Arakaki, regente",RIMSKY-KORSAKOV," Capricho Espanhol, op. 34",ROMANTISMO
2016,outubro,24 e 25,Sala Minas Gerais,Concertos Didáticos,"Marcos Arakaki, regente",RIMSKY-KORSAKOV," Capricho Espanhol, op. 34",ROMANTISMO
2016,outubro,24 e 25,Sala Minas Gerais,Concertos Didáticos,"Marcos Arakaki, regente",LISZT/Müller-Berghaus, Rapsódia Húngara nº 2 em dó menor,ROMANTISMO
2016,outubro,24 e 25,Sala Minas Gerais,Concertos Didáticos,"Marcos Arakaki, regente",LISZT/Müller-Berghaus, Rapsódia Húngara nº 2 em dó menor,ROMANTISMO
2016,outubro,24 e 25,Sala Minas Gerais,Concertos Didáticos,"Marcos Arakaki, regente",ROSSINI, Guilherme Tell: Abertura,ROMANTISMO
2016,outubro,24 e 25,Sala Minas Gerais,Concertos Didáticos,"Marcos Arakaki, regente",ROSSINI, Guilherme Tell: Abertura,ROMANTISMO
2016,outubro,24 e 25,Sala Minas Gerais,Concertos Didáticos,"Marcos Arakaki, regente",BIZET, L’Arlésienne: Suíte nº 2: Farandole,ROMANTISMO
2016,outubro,24 e 25,Sala Minas Gerais,Concertos Didáticos,"Marcos Arakaki, regente",BIZET, L’Arlésienne: Suíte nº 2: Farandole,ROMANTISMO
2016,outubro,20 e 21,Sala Minas Gerais,Allegro/Vivace,"Celso Antunes, regente convidado",TURINA," Canto a Sevilla, op. 37: Noche de feria e Ofrenda",MODERNO
2016,outubro,20 e 21,Sala Minas Gerais,Allegro/Vivace,"Celso Antunes, regente convidado",TURINA," Canto a Sevilla, op. 37: Noche de feria e Ofrenda",MODERNO
2016,outubro,20 e 21,Sala Minas Gerais,Allegro/Vivace,"Celso Antunes, regente convidado",ALBÉNIZ," Concerto para piano nº 1 em lá menor, op. 78, “Fantástico”",ROMANTISMO
2016,outubro,20 e 21,Sala Minas Gerais,Allegro/Vivace,"Celso Antunes, regente convidado",ALBÉNIZ," Concerto para piano nº 1 em lá menor, op. 78, “Fantástico”",ROMANTISMO
2016,outubro,20 e 21,Sala Minas Gerais,Allegro/Vivace,"Celso Antunes, regente convidado",SCHUBERT," Sinfonia nº 9 em Dó maior, D. 944, “Grande”",ROMANTISMO
2016,outubro,20 e 21,Sala Minas Gerais,Allegro/Vivace,"Celso Antunes, regente convidado",SCHUBERT," Sinfonia nº 9 em Dó maior, D. 944, “Grande”",ROMANTISMO
2016,outubro,20 e 21,Sala Minas Gerais,Allegro/Vivace,"Clélia Iruzun, piano",TURINA," Canto a Sevilla, op. 37: Noche de feria e Ofrenda",MODERNO
2016,outubro,20 e 21,Sala Minas Gerais,Allegro/Vivace,"Clélia Iruzun, piano",TURINA," Canto a Sevilla, op. 37: Noche de feria e Ofrenda",MODERNO
2016,outubro,20 e 21,Sala Minas Gerais,Allegro/Vivace,"Clélia Iruzun, piano",ALBÉNIZ," Concerto para piano nº 1 em lá menor, op. 78, “Fantástico”",ROMANTISMO
2016,outubro,20 e 21,Sala Minas Gerais,Allegro/Vivace,"Clélia Iruzun, piano",ALBÉNIZ," Concerto para piano nº 1 em lá menor, op. 78, “Fantástico”",ROMANTISMO
2016,outubro,20 e 21,Sala Minas Gerais,Allegro/Vivace,"Clélia Iruzun, piano",SCHUBERT," Sinfonia nº 9 em Dó maior, D. 944, “Grande”",ROMANTISMO
2016,outubro,20 e 21,Sala Minas Gerais,Allegro/Vivace,"Clélia Iruzun, piano",SCHUBERT," Sinfonia nº 9 em Dó maior, D. 944, “Grande”",ROMANTISMO
2016,outubro,16,Sala Minas Gerais,Concertos para a Juventude,"Marcos Arakaki, regente",ADAMS, Short ride in a fast machine,CONTEMPORÂNEO
2016,outubro,16,Sala Minas Gerais,Concertos para a Juventude,"Marcos Arakaki, regente",RIMSKY-KORSAKOV," Capricho Espanhol, op. 34",ROMANTISMO
2016,outubro,16,Sala Minas Gerais,Concertos para a Juventude,"Marcos Arakaki, regente",LISZT/Müller-Berghaus, Rapsódia Húngara nº 2 em dó menor,ROMANTISMO
2016,outubro,16,Sala Minas Gerais,Concertos para a Juventude,"Marcos Arakaki, regente",RAVEL, Alborada del gracioso,MODERNO
2016,outubro,16,Sala Minas Gerais,Concertos para a Juventude,"Marcos Arakaki, regente",ROSSINI, Guilherme Tell: Abertura,ROMANTISMO
2016,outubro,16,Sala Minas Gerais,Concertos para a Juventude,"Marcos Arakaki, regente",BIZET, L’Arlésienne: Suíte nº 2: Farandole,ROMANTISMO
2016,outubro,6 e 7,Sala Minas Gerais,Presto/Veloce,"Carlos Miguel Prieto, regente convidado",BERNSTEIN, On the town: three dance episodes,CONTEMPORÂNEO
2016,outubro,6 e 7,Sala Minas Gerais,Presto/Veloce,"Carlos Miguel Prieto, regente convidado",BERNSTEIN, On the town: three dance episodes,CONTEMPORÂNEO
2016,outubro,6 e 7,Sala Minas Gerais,Presto/Veloce,"Carlos Miguel Prieto, regente convidado",BRAHMS," Concerto para violino em Ré maior, op. 77",ROMANTISMO
2016,outubro,6 e 7,Sala Minas Gerais,Presto/Veloce,"Carlos Miguel Prieto, regente convidado",BRAHMS," Concerto para violino em Ré maior, op. 77",ROMANTISMO
2016,outubro,6 e 7,Sala Minas Gerais,Presto/Veloce,"Carlos Miguel Prieto, regente convidado",REVUELTAS, La Noche de los Mayas,MODERNO
2016,outubro,6 e 7,Sala Minas Gerais,Presto/Veloce,"Carlos Miguel Prieto, regente convidado",REVUELTAS, La Noche de los Mayas,MODERNO
2016,outubro,6 e 7,Sala Minas Gerais,Presto/Veloce,"Carlos Miguel Prieto, regente convidado",Bis: GIMENEZ, La boda de Luís Alonso: Intermezzo,MODERNO
2016,outubro,6 e 7,Sala Minas Gerais,Presto/Veloce,"Carlos Miguel Prieto, regente convidado",Bis: GIMENEZ, La boda de Luís Alonso: Intermezzo,MODERNO
2016,outubro,6 e 7,Sala Minas Gerais,Presto/Veloce,"Ji Young Lim, violino",BERNSTEIN, On the town: three dance episodes,CONTEMPORÂNEO
2016,outubro,6 e 7,Sala Minas Gerais,Presto/Veloce,"Ji Young Lim, violino",BERNSTEIN, On the town: three dance episodes,CONTEMPORÂNEO
2016,outubro,6 e 7,Sala Minas Gerais,Presto/Veloce,"Ji Young Lim, violino",BRAHMS," Concerto para violino em Ré maior, op. 77",ROMANTISMO
2016,outubro,6 e 7,Sala Minas Gerais,Presto/Veloce,"Ji Young Lim, violino",BRAHMS," Concerto para violino em Ré maior, op. 77",ROMANTISMO
2016,outubro,6 e 7,Sala Minas Gerais,Presto/Veloce,"Ji Young Lim, violino",REVUELTAS, La Noche de los Mayas,MODERNO
2016,outubro,6 e 7,Sala Minas Gerais,Presto/Veloce,"Ji Young Lim, violino",REVUELTAS, La Noche de los Mayas,MODERNO
2016,outubro,6 e 7,Sala Minas Gerais,Presto/Veloce,"Ji Young Lim, violino",Bis: GIMENEZ, La boda de Luís Alonso: Intermezzo,MODERNO
2016,outubro,6 e 7,Sala Minas Gerais,Presto/Veloce,"Ji Young Lim, violino",Bis: GIMENEZ, La boda de Luís Alonso: Intermezzo,MODERNO
2016,outubro,1,Sala Minas Gerais,Fora de Série,"Fabio Mechetti, regente",MOZART," Contradanças, K. 609",CLASSICISMO
2016,outubro,1,Sala Minas Gerais,Fora de Série,"Fabio Mechetti, regente",MOZART," Idomeneo: Música de Balé, K. 367",CLASSICISMO
2016,outubro,1,Sala Minas Gerais,Fora de Série,"Fabio Mechetti, regente",MOZART," Tamos, Rei do Egito, K. 345",CLASSICISMO
2016,outubro,1,Sala Minas Gerais,Fora de Série,"Fabio Mechetti, regente",MOZART," Let Petits Riens, K. 299b",CLASSICISMO
2016,setembro,22 e 23,Sala Minas Gerais,Presto/Veloce,"Fabio Mechetti, regente",TAKEMITSU," Vers, l’arc-en-ciel, Palma",CONTEMPORÂNEO
2016,setembro,22 e 23,Sala Minas Gerais,Presto/Veloce,"Fabio Mechetti, regente",TAKEMITSU," Vers, l’arc-en-ciel, Palma",CONTEMPORÂNEO
2016,setembro,22 e 23,Sala Minas Gerais,Presto/Veloce,"Fabio Mechetti, regente",RODRIGO, Fantasia para um fidalgo,MODERNO
2016,setembro,22 e 23,Sala Minas Gerais,Presto/Veloce,"Fabio Mechetti, regente",RODRIGO, Fantasia para um fidalgo,MODERNO
2016,setembro,22 e 23,Sala Minas Gerais,Presto/Veloce,"Fabio Mechetti, regente",DUTILLEUX, Sinfonia nº 1,MODERNO
2016,setembro,22 e 23,Sala Minas Gerais,Presto/Veloce,"Fabio Mechetti, regente",DUTILLEUX, Sinfonia nº 1,MODERNO
2016,setembro,22 e 23,Sala Minas Gerais,Presto/Veloce,"Fabio Mechetti, regente",RAVEL, Bolero,MODERNO
2016,setembro,22 e 23,Sala Minas Gerais,Presto/Veloce,"Fabio Mechetti, regente",RAVEL, Bolero,MODERNO
2016,setembro,22 e 23,Sala Minas Gerais,Presto/Veloce,"Fábio Zanon, violão",TAKEMITSU," Vers, l’arc-en-ciel, Palma",CONTEMPORÂNEO
2016,setembro,22 e 23,Sala Minas Gerais,Presto/Veloce,"Fábio Zanon, violão",TAKEMITSU," Vers, l’arc-en-ciel, Palma",CONTEMPORÂNEO
2016,setembro,22 e 23,Sala Minas Gerais,Presto/Veloce,"Fábio Zanon, violão",RODRIGO, Fantasia para um fidalgo,MODERNO
2016,setembro,22 e 23,Sala Minas Gerais,Presto/Veloce,"Fábio Zanon, violão",RODRIGO, Fantasia para um fidalgo,MODERNO
2016,setembro,22 e 23,Sala Minas Gerais,Presto/Veloce,"Fábio Zanon, violão",DUTILLEUX, Sinfonia nº 1,MODERNO
2016,setembro,22 e 23,Sala Minas Gerais,Presto/Veloce,"Fábio Zanon, violão",DUTILLEUX, Sinfonia nº 1,MODERNO
2016,setembro,22 e 23,Sala Minas Gerais,Presto/Veloce,"Fábio Zanon, violão",RAVEL, Bolero,MODERNO
2016,setembro,22 e 23,Sala Minas Gerais,Presto/Veloce,"Fábio Zanon, violão",RAVEL, Bolero,MODERNO
2016,setembro,22 e 23,Sala Minas Gerais,Presto/Veloce,"Israel Muniz, oboé d’amore",TAKEMITSU," Vers, l’arc-en-ciel, Palma",CONTEMPORÂNEO
